

|variable |   n| missing| missing_pct| unique| unique_pct|    mean|    min|      Q1| median|     Q3|    max|     sd|
|:--------|---:|-------:|-----------:|------:|----------:|-------:|------:|-------:|------:|------:|------:|------:|
|X1       | 768|       0|           0|     12|      1.562|   0.764|   0.62|   0.682|   0.75|   0.83|   0.98|  0.106|
|X2       | 768|       0|           0|     12|      1.562| 671.708| 514.50| 606.375| 673.75| 741.12| 808.50| 88.086|
|X3       | 768|       0|           0|      7|      0.911| 318.500| 245.00| 294.000| 318.50| 343.00| 416.50| 43.626|
|X4       | 768|       0|           0|      4|      0.521| 176.604| 110.25| 140.875| 183.75| 220.50| 220.50| 45.166|
|X5       | 768|       0|           0|      2|      0.260|   5.250|   3.50|   3.500|   5.25|   7.00|   7.00|  1.751|
|X6       | 768|       0|           0|      4|      0.521|   3.500|   2.00|   2.750|   3.50|   4.25|   5.00|  1.119|
|X7       | 768|       0|           0|      4|      0.521|   0.234|   0.00|   0.100|   0.25|   0.40|   0.40|  0.133|
|X8       | 768|       0|           0|      6|      0.781|   2.812|   0.00|   1.750|   3.00|   4.00|   5.00|  1.551|
|Y1       | 768|       0|           0|    586|     76.302|  22.307|   6.01|  12.992|  18.95|  31.67|  43.10| 10.090|
|Y2       | 768|       0|           0|    636|     82.812|  24.588|  10.90|  15.620|  22.08|  33.13|  48.03|  9.513|
